sample	organism
GTSP1696	mouse
GTSP1697	mouse
GTSP1481	mouse
GTSP1482	mouse
GTSP0891	mouse
GTSP0949	mouse
GTSP0950	mouse
GTSP1081	mouse
GTSP1079	mouse
GTSP1082	mouse
GTSP1083	mouse
GTSP1080	mouse
GTSP1146	mouse
GTSP1149	mouse
GTSP1150	mouse
GTSP0828	mouse
GTSP0829	mouse
GTSP0830	mouse
GTSP0831	mouse
GTSP0832	mouse
GTSP0892	mouse
GTSP0947	mouse
GTSP0948	mouse
GTSP1084	mouse
GTSP1147	mouse
GTSP1148	mouse
GTSP1151	mouse
GTSP0833	mouse
GTSP0834	mouse
GTSP1684	human
GTSP1682	human
GTSP1683	human
GTSP1687	human
GTSP1685	human
GTSP1686	human
GTSP1688	human
GTSP1377	human
GTSP0689	human
GTSP0690	human
GTSP0691	human
GTSP0692	human
GTSP1376	human
GTSP1378	human
GTSP1379	human
GTSP1375	human
GTSP1380	human
GTSP1369	human
GTSP1370	human
GTSP1693	human
GTSP1694	human
GTSP1371	human
GTSP1372	human
GTSP1373	human
GTSP1374	human
GTSP1695	human
GTSP1692	human
GTSP1689	human
GTSP1691	human
GTSP1690	human
GTSP0688	human
GTSP0689	human
GTSP0690	human
GTSP0691	human
GTSP0692	human
GTSP1705	mouse
GTSP1706	mouse
GTSP1707	mouse
GTSP1708	mouse
GTSP1709	mouse
GTSP1710	mouse
GTSP1711	mouse
GTSP1712	mouse
GTSP1867	mouse
GTSP1868	mouse
GTSP1969	human
GTSP1970	human
GTSP1971	human
GTSP1972	mouse
GTSP1973	mouse
GTSP1974	mouse
GTSP1975	mouse
GTSP1976	mouse
GTSP1977	mouse
GTSP1978	mouse
GTSP1979	mouse
GTSP1980	mouse
GTSP1981	mouse
GTSP1982	mouse
GTSP1972	mouse
GTSP1973	mouse
GTSP1974	mouse
GTSP1975	mouse
GTSP1976	mouse
GTSP1977	mouse
GTSP1978	mouse
GTSP1979	mouse
GTSP1980	mouse
GTSP1981	mouse
GTSP1982	mouse
GTSP2184	mouse
GTSP2185	mouse
GTSP2186	mouse
GTSP2187	mouse
GTSP2216	mouse
GTSP2217	mouse
GTSP2218	mouse
GTSP2320	mouse
GTSP2321	mouse
GTSP2322	mouse
GTSP2323	mouse
GTSP2324	mouse
GTSP1978	mouse
GTSP2341	mouse
GTSP2343	mouse
GTSP2344	mouse
GTSP2345	mouse
GTSP2346	mouse
GTSP2325	mouse
GTSP2347	mouse
GTSP2348	mouse
GTSP2349	mouse
GTSP2326	mouse
GTSP2350	mouse
GTSP2351	mouse
GTSP2352	mouse
GTSP2327	mouse
GTSP2328	mouse
GTSP2353	mouse
